"Year","Ndays","Ndets","ID","CamNum_Redux"
2018,101,1,571,329
2017,51,0,520,330
2015,81,5,571,331
2016,83,1,571,331
2015,77,0,520,332
2016,83,3,520,332
2018,20,0,571,333
2015,82,29,473,334
2018,20,3,473,334
2016,90,0,473,335
2017,121,1,473,335
2018,21,0,473,335
2015,82,1,473,336
2018,121,0,2605,337
2015,82,3,571,338
2016,69,1,571,338
2018,25,2,571,339
2018,97,3,571,340
2015,81,0,520,341
2016,93,3,520,341
2016,63,0,571,342
2018,121,0,132,343
2015,81,0,520,344
2015,71,1,571,345
2016,33,1,571,345
2017,17,0,571,345
2015,82,0,520,346
2017,27,0,520,346
2018,121,3,520,346
2015,82,0,520,347
2016,94,0,520,347
2015,4,0,473,348
2016,31,0,473,348
2015,81,0,520,349
2016,28,0,520,349
2017,101,0,520,349
2015,81,2,520,350
2016,121,2,520,350
2016,103,2,520,351
2018,21,2,473,352
2016,90,0,520,353
2015,34,1,520,354
2017,54,2,3276,355
2018,108,3,3276,355
2015,4,0,473,356
2016,1,0,473,356
2017,29,0,3935,357
2015,81,3,571,358
2016,64,1,571,358
2017,121,2,571,358
2018,121,1,571,358
2017,40,2,1750,359
2018,110,8,1750,359
2015,81,3,473,360
2016,121,3,473,360
2017,117,2,473,360
2015,82,0,520,361
2016,62,0,893,362
2017,121,1,893,362
2016,1,0,520,363
2015,81,1,520,364
2017,104,1,520,364
2018,121,0,520,364
2015,81,0,571,365
2017,121,3,571,366
2018,121,2,571,366
2015,82,2,571,367
2016,66,3,571,367
2017,121,3,571,367
2015,81,0,520,368
2017,63,1,520,368
2018,48,0,520,368
2017,96,0,4937,369
2018,60,0,4937,369
2015,81,0,571,370
2016,59,0,571,370
2017,121,0,571,370
2018,121,0,571,370
2015,82,0,520,371
2016,94,0,520,371
2015,82,3,473,372
2016,121,0,473,372
2017,69,2,473,372
2018,121,3,473,372
2016,13,1,571,373
2017,121,4,571,373
2018,60,3,571,374
2017,32,2,1198,375
2015,82,6,520,376
2017,110,2,520,376
2018,121,0,520,376
2015,81,0,571,377
2016,29,0,571,377
2017,101,0,571,378
2018,121,0,571,378
2015,1,0,571,379
2016,121,3,571,379
2017,121,4,571,379
2018,121,0,571,379
2015,81,0,520,380
2016,9,0,520,380
2015,82,0,520,381
2016,94,1,520,381
2017,104,1,520,381
2015,81,4,520,382
